id,name,shortName,color,city,founded,arena,category,competition,coach,assistantCoach
lfa-senior-abert,La Família,LFA,#8B0000,São Vicente,2015,Pavilhão do Norte,Senior,TorneioAbertura,Filipe Borges,Daniel Costa

playerId,jerseyNumber,name,position,height,cmAge,points,rebounds,assists,photo,isTopPlayer
1,10,Diogo Moreira,Ala,193,26,21.8,6.8,3.9,🏀,true
2,8,Henrique Santos,Base,184,24,18.2,4.1,6.5,🏀,true
3,12,Fábio Lima,Pivô,200,28,15.5,9.5,1.8,🏀,false
4,7,Gonçalo Ferreira,Ala,189,22,14.8,5.1,3.6,🏀,false
5,5,Tiago Rodrigues,Armador,179,20,12.9,2.7,6.9,🏀,false
6,9,Rodrigo Costa,Ala,191,25,13.6,4.5,3.1,🏀,false
7,11,João Pedro,Pivô,199,27,11.8,8.2,1.3,🏀,false
8,6,Pedro Miguel,Base,181,23,10.2,2.4,5.5,🏀,false
